time_utc,event_rate,predicted_baseline,residual,is_anomaly
2024-03-22 18:00:01+00:00,15,16.019202653500432,-1.0192026535004324,0
2024-03-22 18:00:02+00:00,8,16.018188334464732,-8.018188334464732,0
2024-03-22 18:00:03+00:00,12,16.01717401542903,-4.017174015429031,0
2024-03-22 18:00:04+00:00,10,16.01615969639333,-6.016159696393331,0
2024-03-22 18:00:05+00:00,10,16.01514537735763,-6.01514537735763,0
2024-03-22 18:00:06+00:00,9,16.01413105832193,-7.014131058321929,0
2024-03-22 18:00:07+00:00,6,16.01311673928623,-10.013116739286229,0
2024-03-22 18:00:08+00:00,9,16.012102420250528,-7.012102420250528,0
2024-03-22 18:00:09+00:00,7,16.011088101214828,-9.011088101214828,0
2024-03-22 18:00:10+00:00,10,16.010073782179127,-6.010073782179127,0
2024-03-22 18:00:11+00:00,15,16.009059463143426,-1.0090594631434264,0
2024-03-22 18:00:12+00:00,13,16.008045144107726,-3.008045144107726,0
2024-03-22 18:00:13+00:00,11,16.007030825072025,-5.007030825072025,0
2024-03-22 18:00:14+00:00,5,16.006016506036325,-11.006016506036325,0
2024-03-22 18:00:15+00:00,7,16.005002187000624,-9.005002187000624,0
2024-03-22 18:00:16+00:00,15,16.003987867964923,-1.0039878679649235,0
2024-03-22 18:00:17+00:00,15,16.002973548929223,-1.0029735489292229,0
2024-03-22 18:00:18+00:00,3,16.001959229893522,-13.001959229893522,0
2024-03-22 18:00:19+00:00,10,16.00094491085782,-6.000944910857822,0
2024-03-22 18:00:20+00:00,7,15.99993059182212,-8.99993059182212,0
2024-03-22 18:00:21+00:00,8,15.998916272786419,-7.998916272786419,0
2024-03-22 18:00:22+00:00,6,15.997901953750718,-9.997901953750718,0
2024-03-22 18:00:23+00:00,12,15.996887634715018,-3.9968876347150175,0
2024-03-22 18:00:24+00:00,16,15.995873315679317,0.004126684320683083,0
2024-03-22 18:00:25+00:00,18,15.994858996643616,2.0051410033563837,0
2024-03-22 18:00:26+00:00,9,15.993844677607916,-6.993844677607916,0
2024-03-22 18:00:27+00:00,16,15.992830358572215,0.0071696414277848675,0
2024-03-22 18:00:28+00:00,7,15.991816039536515,-8.991816039536515,0
2024-03-22 18:00:29+00:00,17,15.990801720500814,1.009198279499186,0
2024-03-22 18:00:30+00:00,11,15.989787401465113,-4.989787401465113,0
2024-03-22 18:00:31+00:00,16,15.988773082429413,0.011226917570587247,0
2024-03-22 18:00:32+00:00,8,15.987758763393712,-7.987758763393712,0
2024-03-22 18:00:33+00:00,21,15.986744444358012,5.013255555641988,0
2024-03-22 18:00:34+00:00,7,15.985730125322311,-8.985730125322311,0
2024-03-22 18:00:35+00:00,14,15.984715806286609,-1.9847158062866086,0
2024-03-22 18:00:36+00:00,10,15.983701487250908,-5.983701487250908,0
2024-03-22 18:00:37+00:00,3,15.982687168215207,-12.982687168215207,0
2024-03-22 18:00:38+00:00,13,15.981672849179507,-2.981672849179507,0
2024-03-22 18:00:39+00:00,8,15.980658530143806,-7.980658530143806,0
2024-03-22 18:00:40+00:00,11,15.979644211108106,-4.979644211108106,0
2024-03-22 18:00:41+00:00,10,15.978629892072405,-5.978629892072405,0
2024-03-22 18:00:42+00:00,13,15.977615573036704,-2.9776155730367044,0
2024-03-22 18:00:43+00:00,10,15.976601254001004,-5.976601254001004,0
2024-03-22 18:00:44+00:00,12,15.975586934965303,-3.9755869349653032,0
2024-03-22 18:00:45+00:00,13,15.974572615929603,-2.9745726159296026,0
2024-03-22 18:00:46+00:00,8,15.973558296893902,-7.973558296893902,0
2024-03-22 18:00:47+00:00,10,15.972543977858201,-5.9725439778582015,0
2024-03-22 18:00:48+00:00,16,15.9715296588225,0.028470341177499137,0
2024-03-22 18:00:49+00:00,7,15.9705153397868,-8.9705153397868,0
2024-03-22 18:00:50+00:00,12,15.9695010207511,-3.9695010207510997,0
2024-03-22 18:00:51+00:00,12,15.968486701715399,-3.968486701715399,0
2024-03-22 18:00:52+00:00,11,15.967472382679698,-4.9674723826796985,0
2024-03-22 18:00:53+00:00,7,15.966458063643998,-8.966458063643998,0
2024-03-22 18:00:54+00:00,6,15.965443744608297,-9.965443744608297,0
2024-03-22 18:00:55+00:00,14,15.964429425572597,-1.9644294255725967,0
2024-03-22 18:00:56+00:00,11,15.963415106536896,-4.963415106536896,0
2024-03-22 18:00:57+00:00,15,15.962400787501196,-0.9624007875011955,0
2024-03-22 18:00:58+00:00,17,15.961386468465493,1.0386135315345069,0
2024-03-22 18:00:59+00:00,12,15.960372149429793,-3.9603721494297925,0
2024-03-22 18:01:00+00:00,6,15.959357830394092,-9.959357830394092,0
2024-03-22 18:01:01+00:00,16,15.958343511358391,0.04165648864160865,0
2024-03-22 18:01:02+00:00,24,15.95732919232269,8.04267080767731,0
2024-03-22 18:01:03+00:00,14,15.95631487328699,-1.9563148732869902,0
2024-03-22 18:01:04+00:00,19,15.95530055425129,3.0446994457487104,0
2024-03-22 18:01:05+00:00,26,15.954286235215589,10.045713764784411,0
2024-03-22 18:01:06+00:00,16,15.953271916179888,0.04672808382011162,0
2024-03-22 18:01:07+00:00,21,15.952257597144188,5.047742402855812,0
2024-03-22 18:01:08+00:00,23,15.951243278108487,7.048756721891513,0
2024-03-22 18:01:09+00:00,10,15.950228959072787,-5.950228959072787,0
2024-03-22 18:01:10+00:00,23,15.949214640037086,7.050785359962914,0
2024-03-22 18:01:11+00:00,27,15.948200321001385,11.051799678998615,0
2024-03-22 18:01:12+00:00,20,15.947186001965685,4.052813998034315,0
